024-A|LAC BRISSON
024-K-02|LAC GABRIEL
024-K-03|LAC THEVENET
024-K-04|LAC GERIDO
024-K-05|LAC HARVENG
024-K-06|LAC DE FRENEUSE
024-K-07|LAC DIANA
024-K-08|ILE HENDRY
024-K-09|ANCHOR ISLAND
024-K-10|LAC DU BASALTE
024-K-11|LAC BALLANTYNE
024-K-12|TASIUJAQ
024-K-13|LAC LUCILLE
024-K-14|PASSAGE AUX FEUILLES
024-K-15|LAC KASLAC
024-K-16|POINTE RAGGED
024-L-01|LAC JOURDAN
024-L-02|LAC DUFREBOY
024-L-03|LAC CARLIER
024-L-04|RIVIERE QIJUTTUUQ
024-L-05|RIVIERE COHADE
024-L-06|RUISSEAU BOULAIN
024-L-07|LAC HERAULT
024-L-08|LAC DUSAY
024-L-09|LAC DU CANOT
024-L-10|LAC DULHUT
024-L-11|LAC VIENNAUX
024-L-12|LAC BILLERON
024-L-13|LAC LUGERAT
024-L-14|LAC GUERESTIN
024-L-15|LAC GUENYVEAU
024-L-16|LAC FANFAN
024-M-01|LAC FORD
024-M-02|LAC PAJOT
024-M-03|LAC CLOVIS
024-M-04|LAC NEY
024-M-05|LAC RIVIER
024-M-06|LAC TROIE
024-M-07|LAC BELLOY
024-M-08|LAC SAINT FOND
024-M-09|LAC LEFROY
024-M-10|LAC PETERS
024-M-11|LAC CUROTTE
024-M-12|LAC DESCLAUX
024-M-13|CAP QILUMMIJUQ
024-M-14|LAC GORRIBON
024-M-15|LAC DE THURY
024-M-16|LAC MORGAN
024-N-02|GYRFALCON ISLANDS
024-N-03|IKATTOK BAY
024-N-04|LAC VOLTZ
024-N-05|AUPALUK
024-N-06|ANSE DE VILLIERS
024-N-11|PART OF 024N12
024-N-12|BAIE DE BONNARD
024-N-13|BAIE BROCHANT
024-P-01|KOMAKTORVIK LAKES
024-P-02|LAC MALCHELOSSE
024-P-03|RIVIERE ABRAT
024-P-04|KEGLO BAY
024-P-05|CAP KATTAKTOC
024-P-06|ABLOVIAK FIORD
024-P-07|MONT JACQUES-ROUSSEAU
024-P-08|TOWER MOUNTAIN
024-P-09|RYANS BAY
024-P-10|LAC DE LORIERE
024-P-11|RIVIERE LEPERS
024-P-12|PART OF 024P11
024-P-13|PART OF 024P14
024-P-14|BELL INLET
024-P-15|LAC BARET
024-P-16|ECLIPSE HARBOUR
