074-A|UPPER FOSTER LAKE
074-M-16|ANDREW LAKE
074-N-01|ARCHIBALD RIVER
074-N-02|CANTARA BAY
074-N-03|WILLIAM POINT
074-N-04|POINTE ENNUYEUSE
074-N-05|MAURICE BAY
074-N-06|PART OF 074N07
074-N-07|CRACKINGSTONE PENINSULA
074-N-08|GOLDFIELDS
074-N-09|FORGET LAKE
074-N-10|URANIUM CITY
074-N-11|THLUICHO LAKE
074-N-12|HARPER LAKE
074-N-13|THAINKA LAKE
074-N-14|ZIN BAY
074-N-15|BURCHNALL LAKE
074-N-16|ENA LAKE
074-O-01|RIOU LAKE
074-O-02|ENGLER LAKE
074-O-03|RICHARDS LAKE
074-O-04|HELMER LAKE
074-O-05|ISLE BROCHET
074-O-06|FOND-DU-LAC
074-O-07|LOWE LAKE
074-O-08|WILEY LAKE
074-O-09|FONTAINE LAKE
074-O-10|OMAN LAKE
074-O-11|FORSYTH LAKE
074-O-12|NEVINS LAKE
074-O-13|DARDIER LAKE
074-O-14|CARCOUX LAKE
074-O-15|CHAPPUIS LAKE
074-O-16|SCOTT LAKE
074-P-01|CYPRIAN LAKE
074-P-02|PERCHING LAKE
074-P-03|FIR ISLAND
074-P-04|ELIZABETH FALLS
074-P-05|CLUT LAKES
074-P-06|LYTLE LAKE
074-P-07|HIGGINSON LAKE
074-P-08|PINKHAM LAKE
074-P-09|HERBERT LAKE
074-P-10|YOUNG LAKE
074-P-11|CHAMBEUIL LAKE
074-P-12|ASTROLABE LAKE
074-P-13|DODGE LAKE
074-P-14|SEGUIN LAKE
074-P-15|GASTE LAKE
074-P-16|OFFSET LAKE
